Last Updated:,5/22/2024,,,,,,
Number,NAME,Lat,Long,Seasonal Status,Municipality,Total Docks,Station ID (to match to historic system data)
M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Year Round,Cambridge,23,116
M32027,Binney St / Sixth St,42.36608797,-71.08633604,Year Round,Cambridge,19,117
M32029,Porter Square Station,42.387995,-71.119084,Year Round,Cambridge,19,115
M32030,Dana Park,42.36178044,-71.10809952,Year Round,Cambridge,19,139
M32031,Danehy Park,42.388966,-71.132788,Year Round,Cambridge,17,140
M32032,Kendall Street,42.36356016,-71.08216792,Year Round,Cambridge,17,141
M32033,Alewife Station at Russell Field,42.396105,-71.139459,Year Round,Cambridge,23,142
M32034,EF - North Point Park,42.369885,-71.069957,Year Round,Cambridge,23,143
M32035,Rogers St & Land Blvd,42.36644674,-71.07654601,Year Round,Cambridge,19,144
M32036,Rindge Avenue - O'Neill Library,42.392766,-71.129042,Year Round,Cambridge,19,145
M32037,Ames St at Main St,42.3625,-71.08822,Year Round,Cambridge,19,107
M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36923907,-71.11687034,Year Round,Cambridge,21,97
M32039,Lesley University,42.38674802,-71.11901879,Year Round,Cambridge,15,176
M32040,University Park,42.36264779,-71.10006094,Year Round,Cambridge,19,177
M32041,MIT Pacific St at Purrington St,42.3595732,-71.10129476,Year Round,Cambridge,19,178
M32042,MIT Vassar St,42.35560121,-71.10394478,Year Round,Cambridge,53,179
M32043,Mt Auburn,42.37478629,-71.13320231,Year Round,Cambridge,19,180
M32044,Huron Ave At Vassal Lane,42.38165061,-71.13426981,Year Round,Cambridge,19,181
M32045,Museum of Science,42.36769018,-71.07116282,Year Round,Cambridge,19,182
M32046,Alewife MBTA at Steel Place,42.39558846,-71.14260614,Year Round,Cambridge,19,183
M32047,Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405,Year Round,Cambridge,19,184
M32048,Third at Binney,42.36544486,-71.08277142,Year Round,Cambridge,15,185
M32049,Child Street at Brian P. Murphy Staircase,42.37197678,-71.07200496,Year Round,Cambridge,23,195
M32050,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,Year Round,Cambridge,19,221
M32051,Fresh Pond Reservation,42.38267828,-71.14347895,Year Round,Cambridge,17,224
M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,Year Round,Cambridge,19,225
M32053,One Memorial Drive,42.36161932,-71.08043551,Year Round,Cambridge,19,228
M32054,699 Mt Auburn St,42.37500235,-71.14871614,Year Round,Cambridge,25,333
M32055,Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222,Year Round,Cambridge,19,335
M32056,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,Year Round,Cambridge,19,334
M32057,Vassal Lane at Tobin/VLUS,42.38536765,-71.13775671,Year Round,Cambridge,19,367
M32058,84 Cambridgepark Dr,42.3936,-71.143941,Year Round,Cambridge,27,319
M32059,Ames St at Broadway,42.3636929,-71.0875672,Year Round,Cambridge,19,318
M32060,700 Huron Ave,42.38078817,-71.15412891,Year Round,Cambridge,19,371
M32061,Mass Ave at Albany St,42.36135838,-71.09670274,Year Round,Cambridge,18,380
M32062,Inman Square at Springfield St.,42.37426714,-71.10026479,Year Round,Cambridge,25,381
M32063,Sennott Park Broadway at Norfolk Street,42.36860524,-71.09930186,Year Round,Cambridge,19,386
M32064,75 Binney St,42.36550729,-71.0801376,Year Round,Cambridge,19,398
M32065,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,Year Round,Cambridge,19,413
M32066,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131,Year Round,Cambridge,23,414
M32067,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,Year Round,Cambridge,19,437
M32068,Graham and Parks School – Linnaean St at Walker St,42.3829443,-71.12449831,Year Round,Cambridge,19,456
M32069,Smith Pl at Wilson Rd,42.39239749,-71.15058332,Year Round,Cambridge,19,463
M32070,MIT Carleton St at Amherst St,42.36054174,-71.08669817,Year Round,Cambridge,27,471
M32071,MIT Hayward St at Amherst St,42.36085937,-71.08551858,Year Round,Cambridge,27,472
M32072,Galileo Galilei Way at Main Street,42.36300378,-71.08974038,Year Round,Cambridge,19,479
M32073,955 Mass Ave,42.36895181,-71.1099878,Year Round,Cambridge,19,515
M32074,Concord Ave at Spinelli Place,42.390719,-71.1538877,Year Round,Cambridge,19,532
M32075,Danehy Park at New Street,42.389456,-71.139019,Year Round,Cambridge,19,533
M32076,Old Morse Park at Putnam Ave,42.35766248,-71.10841334,Year Round,Cambridge,15,544
M32077,Cambridge Crossing at North First Street,42.371141,-71.076198,Year Round,Cambridge,23,553
M32078,Galileo Galilei Way at Fulkerson St/Binney St,42.3664204,-71.0885418,Year Round,Cambridge,19,557
M32079,Raymond Park at Walden St,42.38736954,-71.12761001,Year Round,Cambridge,19,564
M32080,Main Street/Albany Street/Technology Square,42.3629016,-71.0915669,Year Round,Cambridge,23,566
M32081,Gore Street at Lambert Street,42.3730798,-71.08634234,Year Round,Cambridge,19,582
M32082,Broad Canal Way at Third Street,42.3630455,-71.08287079,Year Round,Cambridge,19,583
M32083,John Ahern Field at Kennedy-Longfellow School,42.36903567,-71.0863096,Year Round,Cambridge,19,590
M32084,87-101 Cambridgepark Drive,42.39522187,-71.14421904,Year Round,Cambridge,23,No ID pre-March 2023
M32085,Mass Ave/Lafayette Square,42.36356499,-71.10044184,Year Round,Cambridge,15,No ID pre-March 2023
M32086,Morgan Ave at North First St,42.37197726,-71.07585847,Year Round,Cambridge,23,No ID pre-March 2023
M32087,Church St,42.37433925,-71.11966431,Year Round,Cambridge,15,No ID pre-March 2023
M32088,55 Wheeler Street,42.390821,-71.143946,Year Round,Cambridge,23,No ID pre-March 2023
Z32998,Broadway at Kittie Knox Bike Path,42.36412659,-71.08738632,Year Round,Cambridge,23,No ID pre-March 2023
M32089,Moore Youth Center,42.363539,-71.111698,Year Round,Cambridge,15,No ID pre-March 2023
M32090,O'Brien Highway at First Street,42.370982,-71.076638,Year Round,Cambridge,19,No ID pre-March 2023
M32091,325 Binney St.,42.36722,-71.08903,Year Round,Cambridge,19,No ID pre-March 2023
M32001,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Year Round - Currently Stored,Cambridge,19,
H32001,Cary Square,42.39813565,-71.03070972,Year Round,Chelsea,12,503
H32002,Bellingham Square,42.39319611,-71.0334456,Year Round,Chelsea,11,504
H32003,Chelsea Square,42.39022671,-71.03857018,Year Round,Chelsea,11,505
H32004,Broadway at Gerrish Ave,42.39453079,-71.03085594,Year Round,Chelsea,11,506
H32005,Chelsea Station,42.39636528,-71.03987179,Year Round,Chelsea,11,507
H32006,855 Broadway,42.39841773,-71.02390923,Year Round,Chelsea,11,508
V32001,7 Acre Park,42.41143223,-71.06823265,Year Round,Everett,15,387
V32003,Everett Square (Broadway at Chelsea St),42.406872,-71.055786,Year Round,Everett,16,389
V32004,Broadway at Lynde St,42.39648358,-71.0654676,Year Round,Everett,15,390
V32005,Encore,42.39329263,-71.0724476,Year Round,Everett,15,391
V32006,Glendale Square (Ferry St at Broadway),42.41427294,-71.04479656,Year Round,Everett,15,392
V32007,Swan St. Park,42.41250451,-71.05842225,Year Round,Everett,15,393
V32008,Broadway at Maple St,42.41034691,-71.05260458,Year Round,Everett,14,394
V32011,Broadway at Beacham St,42.3983606,-71.06373843,Year Round,Everett,15,397
V32012,Hale Park,42.4153271,-71.0528183,Year Round,Everett,11,448
V32013,Kearins Playground,42.40616124,-71.06041655,Year Round,Everett,11,482
V32015,Gramsdorf Playground,42.408156,-71.0429,Year Round,Everett,14,586
V32016,Chelsea St at Vine St,42.40336946,-71.04731441,Year Round,Everett,11,395
V32009,Pope John High School,42.4203487,-71.04419768,Winter Storage,Everett,15,No ID pre-March 2023
G32001,Malden Center T Station,42.426541,-71.073179,Year Round,Malden,11,584
G32002,Northern Strand at Main St,42.42386,-71.067793,Year Round,Malden,11,585
G32003,Malden High School,42.42653766,-71.06393695,Year Round,Malden,11,587
V32014,Wellington MBTA,42.4023682,-71.07573182,Year Round,Medford,19,565
F32001,Main St at Brooks Park,42.411709,-71.110444,Year Round,Medford,11,576
F32002,Medford Sq - Riverside Ave at River St,42.417724,-71.108102,Year Round,Medford,11,577
F32003,Tufts Sq - Main St at Medford St,42.401697,-71.106128,Year Round,Medford,11,578
F32006,Hormel Stadium,42.40721644,-71.09651506,Year Round,Medford,11,No ID pre-March 2023
F32004,Harris Park,42.41081837,-71.08152866,Year Round,Medford,11,No ID pre-March 2023
F32005,Haines Square,42.42333137,-71.09124541,Year Round,Medford,11,No ID pre-March 2023
ZZ32996,Auburn St. at Mystic River,42.4175909,-71.12608128,Year Round,Medford,11,No ID pre-March 2023
F32007,West Medford Square (Bower St at Harvard Ave),42.420647,-71.133483,Year Round,Medford,11,No ID pre-March 2023
F32008,Logan Park,42.41800743,-71.09657221,Year Round,Medford,11,No ID pre-March 2023
N32000,Centre St at Washington St,42.35574335,-71.18641943,Offline for Winter,Newton,11,466
N32001,Washington St at Crafts St,42.35389024,-71.19943707,Offline for Winter,Newton,11,467
N32002,Nonantum Library,42.36068456,-71.201462,Offline for Winter,Newton,15,468
N32003,Bacon St at Washington St,42.35711921,-71.18604537,Offline for Winter,Newton,11,469
N32005,West Newton,42.3496005,-71.22627497,Offline for Winter,Newton,15,473
N32008,Langley Lot,42.330528,-71.192861,Offline for Winter,Newton,11,486
N32009,Boston College T,42.33987892,-71.16708934,Year Round,Newton,17,523
N32010,Newton Highlands T,42.32206566,-71.20637298,Offline for Winter,Newton,15,524
N32011,California at Chapel,42.36514871,-71.20236039,Offline for Winter,Newton,12,525
N32012,Beacon at Walnut,42.33006232,-71.20668411,Offline for Winter,Newton,15,526
N32013,Newton Library,42.33620337,-71.20779455,Offline for Winter,Newton,13,527
N32014,Washington St at Walnut St,42.35145812,-71.20764971,Offline for Winter,Newton,11,528
N32015,Auburndale,42.34805541,-71.24775946,Offline for Winter,Newton,15,535
N32018,Centre St at Commonwealth Ave,42.3362358,-71.1934421,Offline for Winter,Newton,11,559
N32006,Watertown St at Albemarle Rd,42.35410408,-71.21382214,Offline for Winter,Newton,11,474
R32006,Revere City Hall,42.40741,-71.0139,Year Round,Revere,11,485
R32007,Revere Public Library,42.408088,-71.008942,Year Round,Revere,11,484
R32002,Orr Sq (Shirley Ave),42.40715656,-70.9927243,Year Round,Revere,11,541
R32001,Sumner St at Shirley Ave,42.40833706,-70.99804848,Year Round,Revere,11,540
T32001,Salem Ferry Landing,42.52189284,-70.88069111,Offline for Winter,Salem,11,516
T32002,Salem Willows Park,42.53466911,-70.8702144,Offline for Winter,Salem,15,517
T32003,Shetland Park - Congress at Peabody St,42.51836788,-70.88952363,Year Round,Salem,11,518
T32004,Mayor Salvo Path at Mill St,42.5180352,-70.89570075,Year Round,Salem,11,519
T32005,Salem MBTA - Washington at Federal St,42.52345239,-70.89611113,Year Round,Salem,13,520
T32006,Lafayette at Leach St,42.51142784,-70.89183301,Year Round,Salem,11,521
T32007,Salem State University - Bike Path at Loring Ave,42.50182399,-70.89478076,Year Round,Salem,15,522
T32008,Hawthorne Boulevard,42.5223714,-70.8903331,Year Round,Salem,9,562
T32009,Salem State University - North Campus,42.503332,-70.891444,Year Round,Salem,11,570
T32011,Essex St at Dalton Parkway,42.516223,-70.905535,Year Round,Salem,11,572
T32010,Forest River Park,42.506395,-70.88693,Year Round,Salem,11,571
T32012,Salem MBTA - Lower Level,42.523994,-70.89684,Year Round,Salem,11,573
T32013,Community Life Center,42.520136,-70.906271,Year Round,Salem,9,574
T32014,Goodhue St at Grove St,42.520897,-70.910528,Year Round,Salem,11,575
T32015,North St at Liberty Hill Ave,42.52989965,-70.90614259,Year Round,Salem,11,589
T32017,Vinnin Square,42.48628785,-70.90166733,Year Round,Salem,11,No ID pre-March 2023
T32016,Bridge Street Neck,42.52810052,-70.88971138,Year Round,Salem,11,No ID pre-March 2023
T32018,Derby Street,42.52009618,-70.89139044,Year Round,Salem,11,No ID pre-March 2023
S32001,Somerville City Hall,42.386844,-71.09812,Year Round,Somerville,19,77
S32002,Union Square - Somerville,42.3796479,-71.09540476,Year Round,Somerville,19,78
S32003,Beacon St at Washington / Kirkland,42.37875351,-71.10707223,Year Round,Somerville,19,79
S32004,Conway Park - Somerville Avenue,42.38363895,-71.10853672,Year Round,Somerville,23,71
S32005,Wilson Square,42.38567579,-71.11412136,Year Round,Somerville,15,99
S32006,Davis Square,42.396969,-71.123024,Year Round,Somerville,25,100
S32007,Ball Sq,42.39936816,-71.11111522,Year Round,Somerville,19,101
S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Year Round,Somerville,15,102
S32009,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Year Round,Somerville,15,111
S32010,Clarendon Hill at Broadway,42.406302,-71.132446,Year Round,Somerville,15,112
S32011,Teele Square,42.4008795,-71.12590793,Year Round,Somerville,15,114
S32013,Magoun Square at Trum Field,42.3977834,-71.10594004,Year Round,Somerville,19,137
S32014,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,Year Round,Somerville,19,194
S32015,Foss Park,42.39108438,-71.09039426,Year Round,Somerville,15,188
S32016,Broadway at Central St,42.3951715,-71.09850592,Year Round,Somerville,19,234
S32017,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,Year Round,Somerville,15,235
S32018,Assembly Square T,42.39223284,-71.07746601,Year Round,Somerville,15,236
S32019,Grove St at Community Path,42.39638681,-71.12011306,Year Round,Somerville,15,328
S32052,Somerville Hospital,42.390413,-71.108571,Year Round,Somerville,15,156
S32021,Washington St at Myrtle St,42.38103732,-71.08709779,Year Round,Somerville,15,329
S32022,Community Path at Cedar Street,42.39407224,-71.11133695,Year Round,Somerville,15,239
S32023,30 Dane St,42.38100143,-71.10402523,Year Round,Somerville,15,330
S32034,Perry Park,42.37927325,-71.10341903,Year Round,Somerville,19,377
S32035,191 Beacon St,42.38032335,-71.10878613,Year Round,Somerville,19,378
S32036,Somerville City Hall Annex,42.39189812,-71.09745376,Year Round,Somerville,19,406
S32037,Craigie at Summer St,42.38831608,-71.11068249,Year Round,Somerville,19,407
S32038,Edgerly Education Center,42.38717463,-71.08714389,Year Round,Somerville,15,408
S32039,Elm St at White St,42.38952436,-71.1169414,Year Round,Somerville,19,409
S32040,Community Path at Lowell St,42.392525,-71.105587,Year Round,Somerville,19,487
S32041,Union Square East,42.380078,-71.090098,Year Round,Somerville,19,495
S32046,Gilman Square T at Medford St,42.3867355,-71.0946444,Year Round,Somerville,19,514
S32047,Foley St at Grand Union Blvd,42.3930184,-71.08071685,Year Round,Somerville,19,530
S32048,Somerville High School & Central Library,42.3864,-71.09601,Year Round,Somerville,17,550
S32050,Boynton Yards at 101 South Street,42.37471,-71.091236,Year Round,Somerville,19,No ID pre-March 2023
S32053,Chestnut St at Poplar St,42.377636,-71.085954,Year Round,Somerville,19,No ID pre-March 2023
S32054,Union Square Station,42.377309,-71.094428,Year Round,Somerville,19,No ID pre-March 2023
W32001,Coolidge Sq.,42.37207611,-71.15683131,Year Round,Watertown,12,455
W32002,Watertown Sq,42.36526032,-71.18573324,Year Round,Watertown,15,458
W32004,Arsenal Yards,42.36277389,-71.15764854,Year Round,Watertown,15,475
W32005,Watertown Town Hall,42.36759308,-71.18751436,Year Round,Watertown,11,494
W32006,160 Arsenal,42.36466403,-71.17569387,Year Round,Watertown,11,502
W32007,Nichols Ave. at Watertown Greenway,42.36762049,-71.15656637,Year Round,Watertown,12,509
F32009,Hickey Park,42.424981,-71.098973,Year Round,Medford,19,No ID pre-March 2023
M32092,Elevate at One Leighton,42.369931,-71.073526,Year Round,Cambridge,17,No ID pre-March 2023
TBD - upcoming install,99 Coolidge Ave,42.363706,-71.151771,,Watertown,,No ID pre-March 2023
TBD - upcoming install,Arsenal on the Charles,42.363494,-71.164216,,Watertown,,No ID pre-March 2023
TBD - upcoming install,Damrell St at Old Colony Ave,42.33239735,-71.05441464,,Boston,,No ID pre-March 2023
TBD - upcoming install,Melnea Cass Blvd at Hampden St,42.33096,-71.075488,,Boston,,No ID pre-March 2023
TBD - upcoming install,West Street,42.403517,-71.063277,,Everett,,No ID pre-March 2023
TBD - upcoming install,1515 Commonwealth Ave,42.346426,-71.141581,,Boston,,No ID pre-March 2023
